"","x"
"Prolemur_simus",0
"Lemur_catta",0
"Callithrix_jacchus",0
"Saguinus_nigricollis",0
"Saguinus_fuscicollis",1.665474
"Saguinus_mystax",1.437342
"Saguinus_labiatus",0
"Saguinus_midas",1.665473
"Aotus_nancymaae",1.665472
"Aotus_vociferans",0
"Cebus_capucinus",1.665472
"Saimiri_boliviensis",0
"Saimiri_sciureus",1.665473
"Ateles_fusciceps",0
"Ateles_hybridus",0
"Ateles_geoffroyi",0.573059333333333
"Ateles_paniscus",0
"Ateles_chamek",0
"Brachyteles_arachnoides",0
"Lagothrix_lagotricha",0
"Alouatta_pigra",0
"Alouatta_palliata",1.665474
"Alouatta_guariba",0
"Alouatta_caraya",0
"Alouatta_seniculus",0.882992
"Callicebus_cupreus",0
"Pongo_pygmaeus",0
"Gorilla_gorilla",0.714170666666667
"Gorilla_beringei",0.7214275
"Pan_paniscus",0.622923
"Pan_troglodytes",0.820937
"Symphalangus_syndactylus",0
"Hylobates_lar",0
"Cercocebus_galeritus",0.796302
"Mandrillus_sphinx",0
"Theropithecus_gelada",0
"Papio_papio",0.849907666666667
"Papio_ursinus",0.786683428571429
"Papio_cynocephalus",0
"Papio_hamadryas",0.981083
"Papio_anubis",0.827606733333333
"Macaca_hecki",0.882992
"Macaca_fascicularis",0.873257
"Macaca_fuscata",0.6851552
"Macaca_cyclopis",0.883541333333333
"Macaca_mulatta",0
"Cercopithecus_mona",0
"Cercopithecus_campbelli",0
"Cercopithecus_mitis",0.816742
"Cercopithecus_ascanius",0
"Cercopithecus_diana",0
"Erythrocebus_patas",0
"Chlorocebus_aethiops",0.981084
"Chlorocebus_pygerythrus",0
"Trachypithecus_cristatus",0.882992
"Rhinopithecus_bieti",0
"Colobus_angolensis",0.622923
"Colobus_guereza",0
"Colobus_polykomos",0
"Piliocolobus_rufomitratus",0.690463
"Piliocolobus_badius",0
"Meles_meles",0.8195396
"Lutra_lutra",0.913681632352941
"Lontra_canadensis",0.943259
"Neovison_vison",0.964476689473684
"Mustela_frenata",0
"Mustela_erminea",0.953435709090909
"Mustela_nivalis",0.980584733333333
"Mustela_putorius",0.877620514285714
"Mustela_sibirica",0
"Mustela_itatsi",0
"Gulo_gulo",0
"Martes_foina",0.814781533333333
"Martes_melampus",0.806773666666667
"Martes_martes",0.7968748
"Martes_americana",0.772445904761905
"Procyon_lotor",0.967564433846154
"Conepatus_chinga",0
"Conepatus_leuconotus",0
"Spilogale_gracilis",0.943258
"Spilogale_putorius",0.830626
"Mephitis_mephitis",0.908781166666667
"Callorhinus_ursinus",0
"Eumetopias_jubatus",0
"Arctocephalus_tropicalis",0
"Arctocephalus_pusillus",0
"Erignathus_barbatus",0
"Cystophora_cristata",0
"Pagophilus_groenlandicus",0
"Histriophoca_fasciata",0
"Halichoerus_grypus",0.94326
"Pusa_hispida",0.94326
"Phoca_vitulina",0.94326
"Ursus_thibetanus",0.882991
"Ursus_americanus",0.952343151515152
"Ursus_maritimus",0
"Ursus_arctos",0.882992
"Urocyon_cinereoargenteus",0.972589733333333
"Urocyon_littoralis",0
"Lycalopex_vetulus",0
"Lycalopex_culpaeus",0.374343333333333
"Cerdocyon_thous",0.725894
"Chrysocyon_brachyurus",0.691569333333333
"Canis_mesomelas",0
"Canis_lupus",0.766633852216749
"Canis_latrans",0.795394193846154
"Canis_aureus",0.986673333333333
"Lycaon_pictus",0
"Vulpes_velox",0
"Vulpes_lagopus",0.785936230769231
"Vulpes_corsac",0
"Vulpes_vulpes",0.886739358350951
"Nyctereutes_procyonoides",0.923828267806268
"Otocyon_megalotis",0
"Nandinia_binotata",0
"Crocuta_crocuta",0
"Hyaena_hyaena",0
"Genetta_genetta",0.981082
"Viverra_civettina",0
"Panthera_pardus",0.604143333333333
"Panthera_leo",0.8196598
"Leopardus_geoffroyi",0.6589725
"Leopardus_pardalis",0.773285678571429
"Felis_silvestris",0.809430714285714
"Acinonyx_jubatus",0
"Puma_concolor",0.932370533333333
"Lynx_rufus",0.909649764705882
"Lynx_pardinus",0.808001533333333
"Lynx_canadensis",0.788300022222222
"Lynx_lynx",0.815019927272727
"Equus_zebra",0.51523767032967
"Bison_bison",0
"Bison_bonasus",0.779023681318681
"Tragelaphus_angasii",0.883540666666667
"Tragelaphus_strepsiceros",0.816194285714286
"Philantomba_monticola",0.981082
"Sylvicapra_grimmia",0.864376166666667
"Cephalophus_natalensis",0.896019333333333
"Connochaetes_gnou",0.725896
"Connochaetes_taurinus",0.713352333333333
"Alcelaphus_buselaphus",0.637035333333333
"Damaliscus_lunatus",0
"Damaliscus_pygargus",0.820891166666667
"Oryx_gazella",0.8557056
