"","Prolemur_simus","Lemur_catta","Callithrix_jacchus","Saguinus_nigricollis","Saguinus_fuscicollis","Saguinus_mystax","Saguinus_labiatus","Saguinus_midas","Aotus_nancymaae","Aotus_vociferans","Cebus_capucinus","Saimiri_boliviensis","Saimiri_sciureus","Ateles_fusciceps","Ateles_hybridus","Ateles_geoffroyi","Ateles_paniscus","Ateles_chamek","Brachyteles_arachnoides","Lagothrix_lagotricha","Alouatta_pigra","Alouatta_palliata","Alouatta_guariba","Alouatta_caraya","Alouatta_seniculus","Callicebus_cupreus","Pongo_pygmaeus","Gorilla_gorilla","Gorilla_beringei","Pan_paniscus","Pan_troglodytes","Symphalangus_syndactylus","Hylobates_lar","Cercocebus_galeritus","Mandrillus_sphinx","Theropithecus_gelada","Papio_papio","Papio_ursinus","Papio_cynocephalus","Papio_hamadryas","Papio_anubis","Macaca_hecki","Macaca_fascicularis","Macaca_fuscata","Macaca_cyclopis","Macaca_mulatta","Cercopithecus_mona","Cercopithecus_campbelli","Cercopithecus_mitis","Cercopithecus_ascanius","Cercopithecus_diana","Erythrocebus_patas","Chlorocebus_aethiops","Chlorocebus_pygerythrus","Trachypithecus_cristatus","Rhinopithecus_bieti","Colobus_angolensis","Colobus_guereza","Colobus_polykomos","Piliocolobus_rufomitratus","Piliocolobus_badius","Meles_meles","Lutra_lutra","Lontra_canadensis","Neovison_vison","Mustela_frenata","Mustela_erminea","Mustela_nivalis","Mustela_putorius","Mustela_sibirica","Mustela_itatsi","Gulo_gulo","Martes_foina","Martes_melampus","Martes_martes","Martes_americana","Procyon_lotor","Conepatus_chinga","Conepatus_leuconotus","Spilogale_gracilis","Spilogale_putorius","Mephitis_mephitis","Callorhinus_ursinus","Eumetopias_jubatus","Arctocephalus_tropicalis","Arctocephalus_pusillus","Erignathus_barbatus","Cystophora_cristata","Pagophilus_groenlandicus","Histriophoca_fasciata","Halichoerus_grypus","Pusa_hispida","Phoca_vitulina","Ursus_thibetanus","Ursus_americanus","Ursus_maritimus","Ursus_arctos","Urocyon_cinereoargenteus","Urocyon_littoralis","Lycalopex_vetulus","Lycalopex_culpaeus","Cerdocyon_thous","Chrysocyon_brachyurus","Canis_mesomelas","Canis_lupus","Canis_latrans","Canis_aureus","Lycaon_pictus","Vulpes_velox","Vulpes_lagopus","Vulpes_corsac","Vulpes_vulpes","Nyctereutes_procyonoides","Otocyon_megalotis","Nandinia_binotata","Crocuta_crocuta","Hyaena_hyaena","Genetta_genetta","Viverra_civettina","Panthera_pardus","Panthera_leo","Leopardus_geoffroyi","Leopardus_pardalis","Felis_silvestris","Acinonyx_jubatus","Puma_concolor","Lynx_rufus","Lynx_pardinus","Lynx_canadensis","Lynx_lynx","Equus_zebra","Bison_bison","Bison_bonasus","Tragelaphus_angasii","Tragelaphus_strepsiceros","Philantomba_monticola","Sylvicapra_grimmia","Cephalophus_natalensis","Connochaetes_gnou","Connochaetes_taurinus","Alcelaphus_buselaphus","Damaliscus_lunatus","Damaliscus_pygargus","Oryx_gazella","Ovibos_moschatus","Capricornis_crispus","Capra_pyrenaica","Capra_ibex","Capra_nubiana","Ovis_ammon","Rupicapra_pyrenaica","Rupicapra_rupicapra","Pelea_capreolus","Kobus_ellipsiprymnus","Redunca_fulvorufula","Redunca_redunca","Redunca_arundinum","Raphicerus_campestris","Raphicerus_melanotis","Saiga_tatarica","Gazella_spekei","Nanger_soemmerringii","Antidorcas_marsupialis","Ourebia_ourebi","Aepyceros_melampus","Dama_dama","Rusa_unicolor","Cervus_elaphus","Cervus_nippon","Axis_axis","Rucervus_duvaucelii","Capreolus_capreolus","Rangifer_tarandus","Odocoileus_hemionus","Odocoileus_virginianus","Alces_alces","Antilocapra_americana","Hippopotamus_amphibius","Phacochoerus_aethiopicus","Sus_scrofa"
"Acanthocephalus anguillae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinorhynchus gadi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pomphorhynchus laevis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arhythmorhynchus brevis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Southwellina hispida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynosoma strumosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plagiorhynchus cylindraceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Profilicollis botulus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centrorhynchus conspectus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macracanthorhynchus ingens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
